Species_code,Scientific_name,Source,Notes
ACERrubr,Acer_rubrum,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
ACERsacc,Acer_saccharum,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
ACERnegu,Acer_negundo,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERpens,Acer_pensylvanicum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERspic,Acer_spicatum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERmacr,Acer_macrophyllum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERcirc,Acer_circinatum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERglab,Acer_glabrum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERnigr,Acer_nigrum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ACERplat,Acer_platanoides,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
AESCocta,Aesculus_octandra,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
AESCglab,Aesculus_glabra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARYcord,Carya_cordiformis,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
CARYglab,Carya_glabra,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
CARYovat,Carya_ovata,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
CARYtome,Carya_tomentosa,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
CARYaqua,Carya_aquatica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARYilli,Carya_illinoinensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARYlaci,Carya_laciniosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARYmyri,Carya_myristiciformis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARYpall,Carya_pallida,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARYtexa,Carya_texana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CERCcana,Cercis_canadensis,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
CORNflor,Cornus_florida,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
DIOSvirg,Diospyros_virginiana,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
FAGUgran,Fagus_grandifolia,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
FRAXamer,Fraxinus_americana,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
FRAXnigr,Fraxinus_nigra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
FRAXpenn,Fraxinus_pennsylvanica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
FRAXquad,Fraxinus_quadrangulata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
FRAXprof,Fraxinus_profunda,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
FRAXlati,Fraxinus_latifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
FRAXvelu,Fraxinus_velutina,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
FRAXcaro,Fraxinus_caroliniana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
JUGLnigr,Juglans_nigra,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
JUGLcine,Juglans_cinerea,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
JUNIvirg,Juniperus_virginiana,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
